1,118904,1,2,100.0
2,136569,1,2,100.0
3,4,192,10,16.67
4,4,192,10,6.67
5,26902,4,2,100.0
6,26913,4,2,100.0
7,23,2184,10,10.05
8,19,2186,10,9.53
9,56,512,2,47.37
10,1841,36,7,82.18
11,1533,36,7,82.26
12,121,512,5,100.0
13,190,512,5,100.0
14,109,193,10,10.84
15,245,192,10,10.68
16,24,2151,10,9.16
17,21,2151,10,10.0
18,40,2048,2,100.0
19,48,2048,2,100.0
20,99,249,15,34.56
21,284,250,15,8.25
22,900,13,16,39.08
23,788,16,16,39.44
24,825,11,16,36.28
25,770,16,16,37.5
26,1181,42,16,6.58
27,1154,43,16,5.66
28,49160,3,3,100.0
29,38843,5,3,100.0
30,36,80,16,6.15
31,35,80,16,6.35
