1,8,128,256,4.27
2,6,128,256,4.56
3,14,99,128,34.19
4,15,99,128,34.32
5,46,99,128,58.58
6,28,99,128,58.63
7,18,99,128,34.21
8,14,99,128,34.19
9,6,1364,5397,24.86
10,10,1364,5397,24.83
11,6,1364,5397,24.79
12,10,1364,5397,24.79
13,7,2282,2726,0.25
14,6,2282,2726,0.25
15,8,650,2474,24.96
16,11,650,2474,24.99
19,9,650,2474,25.0
20,13,650,2474,24.98
21,32,56,129,83.44
22,38,56,129,83.44
23,6,128,256,4.56
24,11,128,256,26.96
25,9,650,2474,25.01
26,13,650,2474,24.98
27,7,2282,2726,0.33
28,6,2282,2726,0.48
29,33,249,914,24.07
30,52,249,914,24.03
48,46,99,128,58.58
49,29,99,128,58.58
50,37,56,129,83.44
51,37,56,129,82.56
62,36,80,16,6.15
63,35,80,16,6.35
64,33,249,914,24.03
65,53,249,914,24.03
